FOMD,TPR,Cut Ratio,Conductance,Flake-ODF,Separability,Density,Cohesiveness,Clustering Coefficient
0.333333333,0.555555556,7.39E-05,0.905579399,1,0.052132701,0.305555556,0.25,0.314814815
0.090909091,1,2.01E-05,0.648148148,0.727272727,0.271428571,0.345454545,0.125,0.8
0.357142857,0.785714286,4.26E-05,0.784232365,0.642857143,0.137566138,0.285714286,0.142857143,0.561564626
0.5,0.875,5.09E-05,0.854304636,0.625,0.085271318,0.392857143,0.272727273,0.6
0.428571429,1,3.29E-05,0.768421053,0.571428571,0.150684932,0.523809524,0.25,0.80952381
0.222222222,1,3.50E-05,0.735294118,0.555555556,0.18,0.5,0.294117647,0.895238095
0.166666667,1,4.89E-05,0.837837838,0.333333333,0.096774194,0.6,0.333333333,0.9
0.272727273,1,5.99E-05,0.832669323,0.818181818,0.100478469,0.381818182,0.142857143,0.796103896
0,1,1.49E-05,0.44,0.285714286,0.636363636,1,0.666666667,1
0.47826087,0.956521739,4.64E-05,0.673306773,0.608695652,0.24260355,0.324110672,0.142857143,0.814262549
0.458333333,0.666666667,0.000138382,0.927753304,0.958333333,0.038936372,0.148550725,0.047619048,0.365873016
0.4375,0.9375,7.94E-05,0.844863732,0.875,0.091811414,0.308333333,0.1,0.738095238
0.5,0.625,2.84E-05,0.765957447,0.5,0.152777778,0.392857143,0.2,0.508333333
0.470588235,0.647058824,0.000176436,0.938795656,1,0.032597266,0.227941176,0.333333333,0.376470588
0.5,0.571428571,4.69E-05,0.825396825,0.714285714,0.105769231,0.241758242,0.090909091,0.466666667
0.285714286,0.428571429,8.11E-06,0.5625,0.285714286,0.388888889,0.333333333,0.2,0.30952381
0.352941176,0.705882353,8.66E-05,0.921104536,0.941176471,0.042826552,0.147058824,0.058823529,0.456862745
0.111111111,1,2.49E-05,0.731958763,0.555555556,0.183098592,0.361111111,0.142857143,0.844444444
0.142857143,0.571428571,2.43E-05,0.75,0.571428571,0.166666667,0.428571429,0.333333333,0.471428571
0.285714286,0.428571429,0.000119846,0.943262411,1,0.030075188,0.380952381,0.333333333,0.214285714
0.142857143,1,2.12E-05,0.701492537,0.571428571,0.212765957,0.476190476,0.142857143,0.833333333
0.4,1,5.53E-05,0.604597701,0.6,0.326996198,0.819047619,0.5,0.94029304
0.166666667,0.5,7.94E-05,0.926380368,0.833333333,0.039735099,0.4,0.333333333,0.361111111
0.333333333,0.833333333,4.42E-05,0.823529412,0.5,0.107142857,0.6,0.5,0.611111111
0.125,0.75,8.79E-05,0.86770428,0.5,0.076233184,0.607142857,0.333333333,0.708333333
0.181818182,1,8.09E-05,0.88125,0.909090909,0.067375887,0.345454545,0.2,0.721212121
0,1,5.78E-06,0.268292683,0,1.363636364,1,0.6,1
0.454545455,1,2.71E-05,0.588785047,0.363636364,0.349206349,0.285714286,0.3,0.727784144
0.125,0.875,1.10E-05,0.56,0.375,0.392857143,0.392857143,0.142857143,0.704166667
0,1,2.48E-05,0.529411765,0.25,0.444444444,1,0.714285714,1
0.166666667,1,7.36E-06,0.4375,0.166666667,0.642857143,0.6,0.333333333,0.9
0.4,0.8,7.29E-05,0.870481928,0.84,0.074394464,0.143333333,0.157894737,0.523142857
0.5,1,8.77E-05,0.908496732,0.8,0.050359712,0.311111111,0.142857143,0.73
0.5,0.727272727,6.02E-05,0.867768595,0.636363636,0.076190476,0.138528139,0.2,0.476298701
0.111111111,1,5.61E-05,0.808080808,0.444444444,0.11875,0.527777778,0.142857143,0.888888889
0.285714286,1,3.56E-05,0.724770642,0.714285714,0.189873418,0.714285714,0.5,0.885714286
0.458333333,0.791666667,8.07E-05,0.902941176,0.958333333,0.053745928,0.119565217,0.0625,0.55
0.5,0.75,4.89E-05,0.861111111,0.75,0.080645161,0.227272727,0.142857143,0.383333333
0.285714286,0.857142857,0.000169407,0.935323383,0.857142857,0.034574468,0.619047619,0.5,0.676190476
0.142857143,0.571428571,4.64E-05,0.851239669,0.571428571,0.087378641,0.428571429,0.2,0.5
0.25,0.875,6.23E-05,0.877777778,0.875,0.069620253,0.392857143,0.111111111,0.708333333
0.333333333,0.583333333,8.70E-05,0.906849315,0.75,0.051359517,0.257575758,0.2,0.363095238
0,1,6.99E-05,0.81595092,0.5,0.112781955,1,0.6,1
0.166666667,0.833333333,8.41E-06,0.421052632,0.166666667,0.6875,0.733333333,0.666666667,0.766666667
0.375,0.75,2.21E-05,0.756756757,0.875,0.160714286,0.321428571,0.142857143,0.479166667
0.285714286,0.857142857,0.000105884,0.886792453,1,0.063829787,0.214285714,0.230769231,0.559712774
0,1,9.99E-06,0.387755102,0.166666667,0.789473684,1,0.8,1
0,1,1.34E-05,0.377777778,0.25,0.823529412,1,0.714285714,1
0,1,6.31E-06,0.285714286,0.166666667,1.25,1,0.8,1
0.260869565,0.565217391,6.01E-05,0.87250996,0.913043478,0.073059361,0.126482213,0.176470588,0.381677019
0.4,0.666666667,6.01E-05,0.861445783,0.866666667,0.08041958,0.219047619,0.2,0.51037037
0,1,2.43E-06,0.060240964,0,7.8,1,0.583333333,1
0,1,1.40E-05,0.424657534,0.142857143,0.677419355,1,0.666666667,1
0,1,4.81E-05,0.685393258,0.625,0.229508197,1,0.571428571,1
0.5,0.916666667,7.07E-05,0.870550162,0.583333333,0.074349442,0.303030303,0.142857143,0.686111111
0.272727273,1,6.59E-05,0.833333333,0.727272727,0.1,0.418181818,0.047619048,0.857575758
0.2,0.8,0.000150134,0.930899609,0.866666667,0.037114846,0.12183908,0.071428571,0.531031746
0.166666667,1,0.000130539,0.914110429,0.833333333,0.046979866,0.22875817,0.047619048,0.883333333
0.434782609,0.695652174,8.49E-05,0.890647482,0.826086957,0.061389338,0.150197628,0.133333333,0.429399586
0.473684211,0.578947368,0.000111883,0.925824176,1,0.040059347,0.157894737,0.090909091,0.429072682
0.461538462,0.692307692,5.90E-05,0.864768683,0.769230769,0.0781893,0.243589744,0.166666667,0.46043956
0.166666667,0.5,8.94E-05,0.934065934,0.833333333,0.035294118,0.4,0.2,0.388888889
0.166666667,0.666666667,7.41E-05,0.898089172,0.833333333,0.056737589,0.533333333,0.333333333,0.583333333
0.384615385,0.615384615,7.35E-05,0.89380531,0.846153846,0.059405941,0.230769231,0.142857143,0.294871795
0.444444444,1,3.36E-05,0.727272727,0.333333333,0.1875,0.5,0.230769231,0.792592593
0.473684211,0.789473684,6.87E-05,0.8625,0.789473684,0.079710145,0.192982456,0.161290323,0.547869674
0.375,1,7.14E-05,0.900497512,0.625,0.055248619,0.357142857,0.142857143,0.75
0.166666667,0.666666667,6.04E-05,0.877862595,0.666666667,0.069565217,0.533333333,0.333333333,0.583333333
0.428571429,0.714285714,8.40E-05,0.894484412,0.642857143,0.058981233,0.241758242,0.142857143,0.447619048
0.347826087,0.826086957,9.04E-05,0.89904502,0.782608696,0.056145675,0.146245059,0.090909091,0.58757764
0.235294118,0.764705882,1.74E-05,0.626666667,0.352941176,0.29787234,0.205882353,0.083333333,0.599643494
0.428571429,0.952380952,3.53E-05,0.68115942,0.619047619,0.234042553,0.261904762,0.230769231,0.769589141
0,1,7.04E-05,0.817073171,0.666666667,0.111940299,1,0.6,1
0.166666667,0.5,3.26E-05,0.837837838,1,0.096774194,0.4,0.2,0.388888889
0.5,0.692307692,0.000154669,0.923244026,0.923076923,0.041568627,0.163076923,0.192307692,0.402214452
0.3,0.9,9.02E-05,0.882716049,1,0.066433566,0.422222222,0.285714286,0.71
0.5,0.75,9.36E-05,0.917525773,0.833333333,0.04494382,0.242424242,0.076923077,0.586111111
0.333333333,0.666666667,6.48E-05,0.89017341,0.8,0.061688312,0.180952381,0.142857143,0.397777778
0,1,1.58E-05,0.5,0.166666667,0.5,1,0.6,1
0,1,5.68E-05,0.782608696,0.666666667,0.138888889,1,0.8,1
0.076923077,0.923076923,9.07E-05,0.89047619,1,0.061497326,0.294871795,0.230769231,0.68974359
0.5,0.666666667,6.78E-05,0.902097902,0.833333333,0.054263566,0.466666667,0.333333333,0.444444444
0,1,1.10E-05,0.411764706,0.333333333,0.714285714,1,0.6,1
0.5,0.857142857,6.62E-05,0.880239521,0.857142857,0.068027211,0.21978022,0.052631579,0.638095238
0,1,3.15E-06,0.166666667,0,2.5,1,0.6,1
0.333333333,0.5,5.36E-05,0.894736842,0.666666667,0.058823529,0.4,0.2,0.388888889
0,1,2.42E-05,0.605263158,0.333333333,0.326086957,1,0.6,1
0.1,0.9,8.67E-05,0.907590759,0.9,0.050909091,0.311111111,0.2,0.64
0.166666667,0.833333333,4.42E-05,0.79245283,0.666666667,0.130952381,0.733333333,0.666666667,0.766666667
0.458333333,0.791666667,7.12E-05,0.790087464,0.875,0.132841328,0.260869565,0.428571429,0.498899711
0,1,4.87E-05,0.72,0.571428571,0.194444444,1,0.666666667,1
0,1,2.57E-05,0.575757576,0.285714286,0.368421053,1,0.666666667,1
0.461538462,0.461538462,0.00011257,0.935483871,0.923076923,0.034482759,0.205128205,0.2,0.235897436
0.333333333,1,9.46E-05,0.882352941,0.833333333,0.066666667,0.8,0.714285714,0.844444444
0.461538462,0.692307692,4.56E-05,0.839285714,0.769230769,0.095744681,0.230769231,0.25,0.536324786
0.111111111,0.777777778,2.38E-05,0.596491228,0.444444444,0.338235294,0.638888889,0.333333333,0.746031746
0.333333333,0.5,4.05E-05,0.865168539,0.833333333,0.077922078,0.4,0.2,0.388888889
0.142857143,1,4.10E-05,0.81981982,0.571428571,0.10989011,0.476190476,0.142857143,0.833333333
0.266666667,0.8,0.000154542,0.948387097,1,0.027210884,0.19047619,0.2,0.388888889
0,1,2.84E-05,0.5625,0.5,0.388888889,1,0.571428571,1
0.090909091,0.818181818,7.60E-05,0.863192182,0.636363636,0.079245283,0.381818182,0.090909091,0.727272727
0.454545455,0.636363636,0.000197835,0.953038674,1,0.024637681,0.309090909,0.2,0.527272727
0.1,1,3.56E-05,0.80141844,0.6,0.123893805,0.311111111,0.076923077,0.75
0,1,4.94E-05,0.758064516,0.833333333,0.159574468,1,0.6,1
0,1,9.51E-05,0.857819905,0.666666667,0.082872928,1,0.8,1
0.384615385,0.461538462,5.82E-05,0.888888889,0.846153846,0.0625,0.192307692,0.2,0.238461538
0.421052632,0.947368421,4.93E-05,0.796246649,0.684210526,0.127946128,0.222222222,0.052631579,0.69273183
0.166666667,0.5,7.04E-05,0.917808219,1,0.044776119,0.4,0.2,0.388888889
0.357142857,1,2.57E-05,0.670588235,0.428571429,0.245614035,0.307692308,0.083333333,0.785714286
0,1,9.99E-06,0.387755102,0.333333333,0.789473684,1,0.6,1
0.454545455,0.909090909,0.000100638,0.906976744,0.909090909,0.051282051,0.327272727,0.076923077,0.584848485
0.391304348,0.739130435,0.000165654,0.942277691,0.869565217,0.030629139,0.146245059,0.25,0.43747412
0.266666667,0.8,8.28E-05,0.893424036,0.866666667,0.05964467,0.108045977,0.023255814,0.547539683
0.45,0.9,8.83E-05,0.875,0.8,0.071428571,0.210526316,0.058823529,0.68265873
0.473684211,0.789473684,8.63E-06,0.419354839,0.210526316,0.692307692,0.210526316,0.2,0.551455562
0.333333333,1,3.12E-05,0.589403974,0.444444444,0.348314607,0.861111111,0.555555556,0.94047619
0.5,0.333333333,4.91E-05,0.869767442,0.75,0.07486631,0.212121212,0.076923077,0.291666667
0.285714286,0.857142857,2.21E-05,0.753846154,0.428571429,0.163265306,0.380952381,0.142857143,0.642857143
0,1,3.35E-05,0.602836879,0.125,0.329411765,1,0.571428571,1
0.384615385,0.923076923,3.28E-05,0.745856354,0.692307692,0.17037037,0.294871795,0.1,0.725641026
0.444444444,1,9.54E-05,0.703943116,0.805555556,0.210284665,0.363492063,0.310344828,0.781343998
0,1,1.07E-05,0.22,0.076923077,1.772727273,1,0.666666667,1
0.090909091,0.909090909,1.23E-05,0.452631579,0.454545455,0.604651163,0.472727273,0.111111111,0.807359307
0.407407407,0.666666667,0.000142983,0.912071535,0.925925926,0.048202614,0.168091168,0.090909091,0.468008124
0.333333333,0.833333333,5.68E-05,0.857142857,1,0.083333333,0.6,0.5,0.611111111
0.416666667,0.958333333,0.000114596,0.880808081,0.708333333,0.06766055,0.213768116,0.111111111,0.793650794
0.25,1,5.64E-05,0.790055249,0.75,0.132867133,0.678571429,0.5,0.892857143
0,1,7.49E-06,0.253333333,0.125,1.473684211,1,0.714285714,1
0.25,1,7.25E-05,0.901960784,0.375,0.054347826,0.357142857,0.142857143,0.816666667
0.5,0.863636364,6.58E-05,0.830018083,0.818181818,0.102396514,0.203463203,0.024390244,0.664177489
0,1,6.85E-05,0.783505155,1,0.138157895,1,0.666666667,1
0.5,0.916666667,0.000109861,0.878151261,1,0.06937799,0.439393939,0.333333333,0.762103175
0.125,0.75,8.32E-05,0.86122449,1,0.08056872,0.607142857,0.333333333,0.708333333
0.363636364,0.363636364,9.61E-05,0.927977839,0.909090909,0.03880597,0.236363636,0.230769231,0.16969697
0.333333333,0.666666667,5.26E-06,0.384615385,0.166666667,0.8,0.533333333,0.6,0.5
0.333333333,0.888888889,4.77E-05,0.764044944,0.555555556,0.154411765,0.583333333,0.5,0.735449735
0.133333333,1,1.41E-05,0.401197605,0.2,0.746268657,0.476190476,0.318181818,0.900732601
0.142857143,0.571428571,2.88E-05,0.780487805,0.571428571,0.140625,0.428571429,0.2,0.5
0.266666667,0.866666667,5.93E-05,0.865030675,0.666666667,0.078014184,0.20952381,0.090909091,0.682222222
0.235294118,0.882352941,3.77E-05,0.760299625,0.764705882,0.157635468,0.235294118,0.04,0.738935574
0.25,0.375,5.01E-05,0.888111888,1,0.062992126,0.285714286,0.142857143,0.208333333
0.142857143,1,3.29E-05,0.784946237,0.571428571,0.136986301,0.476190476,0.142857143,0.833333333
0.333333333,1,9.99E-06,0.575757576,0.5,0.368421053,0.466666667,0.142857143,0.777777778
0.481481481,0.777777778,4.77E-05,0.793774319,0.62962963,0.129901961,0.150997151,0.111111111,0.463227513
0.470588235,0.882352941,6.77E-05,0.850815851,0.764705882,0.087671233,0.235294118,0.285714286,0.664939309
0.47826087,0.913043478,5.28E-05,0.780933063,0.869565217,0.14025974,0.213438735,0.111111111,0.712825822
0.142857143,1,4.42E-05,0.830508475,0.857142857,0.102040816,0.476190476,0.142857143,0.833333333
0,1,6.83E-05,0.8125,0.5,0.115384615,1,0.6,1
0,1,0.000123,0.886363636,1,0.064102564,1,0.6,1
0.375,0.5,5.13E-05,0.866666667,0.75,0.076923077,0.166666667,0.090909091,0.339583333
0.4,0.75,0.000124897,0.910344828,0.85,0.049242424,0.205263158,0.142857143,0.592896825
0.413793103,0.931034483,8.44E-05,0.869955157,0.862068966,0.074742268,0.142857143,0.135135135,0.594307608
0.333333333,0.972222222,8.97E-05,0.870748299,0.833333333,0.07421875,0.120634921,0.083333333,0.654739859
0.413793103,1,4.39E-05,0.639240506,0.344827586,0.282178218,0.280788177,0.191489362,0.772088831
0,1,8.41E-05,0.842105263,1,0.09375,1,0.6,1
0.380952381,0.80952381,8.89E-05,0.894259819,0.904761905,0.059121622,0.166666667,0.2,0.537188209
0.428571429,0.857142857,0.00013922,0.950769231,1,0.025889968,0.380952381,0.142857143,0.571428571
0.391304348,0.391304348,0.000103945,0.931203931,0.956521739,0.036939314,0.110671937,0.052631579,0.261904762
0.25,0.75,6.66E-05,0.903743316,1,0.053254438,0.321428571,0.142857143,0.5625
0.5,0.954545455,6.72E-05,0.851179673,0.681818182,0.087420043,0.177489177,0.043478261,0.707575758
0.142857143,1,0.000153187,0.944444444,1,0.029411765,0.476190476,0.142857143,0.833333333
0,1,7.62E-05,0.828571429,1,0.103448276,1,0.6,1
0.5,1,0.000121423,0.935222672,1,0.034632035,0.533333333,0.25,0.777777778
0.285714286,0.428571429,5.00E-05,0.888,1,0.063063063,0.333333333,0.2,0.238095238
0.434782609,0.826086957,0.000119578,0.880808081,0.826086957,0.06766055,0.233201581,0.714285714,0.596179183
0.25,0.875,5.40E-05,0.850931677,0.8125,0.087591241,0.2,0.047619048,0.65
0.333333333,0.833333333,3.26E-05,0.815789474,0.666666667,0.112903226,0.466666667,0.333333333,0.611111111
0,1,5.57E-05,0.779411765,0.833333333,0.141509434,1,0.6,1
0.352941176,0.588235294,3.52E-06,0.28358209,0.058823529,1.263157895,0.176470588,0.263157895,0.356862745
0.117647059,1,3.90E-05,0.53030303,0.411764706,0.442857143,0.683823529,0.25,0.923292394
0,1,3.94E-05,0.714285714,0.166666667,0.2,1,0.8,1
0.419354839,0.838709677,5.94E-05,0.793478261,0.709677419,0.130136986,0.16344086,0.333333333,0.583443338
0.315789474,0.684210526,5.79E-05,0.84503632,0.684210526,0.091690544,0.187134503,0.047619048,0.5
0.428571429,0.428571429,5.14E-05,0.876923077,1,0.070175439,0.380952381,0.333333333,0.238095238
0.428571429,1,4.96E-05,0.763888889,0.571428571,0.154545455,0.80952381,0.75,0.885714286
0.285714286,0.571428571,0.000126154,0.939597315,1,0.032142857,0.428571429,0.333333333,0.428571429
0.411764706,0.941176471,6.05E-05,0.819095477,0.941176471,0.110429448,0.264705882,0.096774194,0.733893557
0.166666667,0.5,5.36E-05,0.894736842,0.833333333,0.058823529,0.4,0.333333333,0.361111111
0.222222222,0.777777778,0.000140172,0.943396226,1,0.03,0.333333333,0.090909091,0.62962963
0.142857143,0.571428571,0.000142824,0.946268657,0.857142857,0.028391167,0.428571429,0.333333333,0.471428571
0.285714286,0.714285714,8.56E-05,0.913461538,0.857142857,0.047368421,0.428571429,0.5,0.380952381
0,1,3.21E-05,0.67032967,0.5,0.245901639,1,0.6,1
0.5,0.921052632,4.42E-05,0.745098039,0.684210526,0.171052632,0.129445235,0.044776119,0.729442925
0.111111111,0.666666667,8.80E-05,0.87456446,0.888888889,0.071713147,0.5,0.2,0.62962963
0,1,3.15E-06,0.166666667,0.166666667,2.5,1,0.6,1
0.1,1,8.11E-05,0.853820598,0.5,0.085603113,0.488888889,0.076923077,0.916666667
0.235294118,0.705882353,8.63E-05,0.885714286,1,0.064516129,0.220588235,0.111111111,0.457843137
0.2,0.8,7.92E-05,0.893238434,1,0.059760956,0.333333333,0.25,0.52
0.222222222,0,0.00013842,0.96107056,0.888888889,0.020253165,0.222222222,0.142857143,0
0,1,9.46E-06,0.375,0.166666667,0.833333333,1,0.6,1
0.4,0.85,0.000120324,0.931623932,0.7,0.036697248,0.147368421,0.071428571,0.643571429
0,1,0.000142448,0.900332226,0.666666667,0.055350554,1,0.6,1
0.206896552,0.827586207,5.43E-05,0.811382114,0.655172414,0.116232465,0.142857143,0.037037037,0.586535304
0.428571429,0.785714286,9.73E-05,0.9,1,0.055555556,0.263736264,0.25,0.408503401
0.125,0.875,0.000121818,0.933534743,1,0.035598706,0.392857143,0.25,0.579166667
0.448275862,0.793103448,0.000154876,0.917525773,0.931034483,0.04494382,0.157635468,0.105263158,0.554187192
